lat,lon,LST_Kelvin_mean
36.5,2.25,296.073062866231
36.5,2.5,297.9938859785063
36.5,2.75,297.35884691812964
36.5,3.0,296.66960071597845
36.5,3.25,297.6230800498097
36.5,3.5,298.3640419748976
36.5,4.0,297.4982477347836
36.5,6.5,299.18287818447783
36.5,6.75,297.66978825165614
36.5,7.0,297.89528667907723
36.5,7.25,298.09493309036236
36.5,8.75,299.7259693448753
36.5,9.0,299.32474087958803
36.5,9.25,297.91478312762945
36.5,9.5,298.6349519975867
36.5,9.75,299.8402979321412
36.5,10.0,299.44869232172175
36.5,10.25,298.2560535199535
36.5,10.5,297.923925449513
36.5,10.75,298.0887581197871
36.5,11.0,299.95623156342185
36.5,22.25,296.0865204824615
36.5,22.5,295.59323341258965
36.5,23.0,296.45577853665026
36.5,23.25,295.31927950473164
36.5,25.5,299.6304011557583
36.5,25.75,295.97909992713824
36.5,26.25,296.88216226961805
36.5,26.5,296.17887531959275
36.5,27.25,296.9672381348118
36.5,27.5,297.7268972625367
36.5,27.75,296.29952054964554
36.5,28.0,296.88938529843534
36.5,28.25,298.7522782465117
36.5,28.75,297.85975522399406
36.5,29.0,296.41928660957325
36.5,29.25,298.0227133755662
36.5,29.5,292.43995881142683
36.5,29.75,292.287166555573
36.5,30.0,290.51043854561846
36.5,30.25,293.4056846509662
36.5,30.5,294.02580129540667
36.5,31.75,299.32831318259116
36.5,32.0,297.5154433940452
36.5,32.25,295.7161158023002
36.5,32.5,290.16258700153713
36.5,32.75,292.56704817664144
36.5,33.0,296.6097589425324
36.5,33.25,298.24754949419594
36.5,33.5,300.7181609258587
36.5,36.0,297.1242762052786
36.5,36.25,297.9185402428612
36.75,-6.5,297.6900916936907
36.75,-6.25,301.5227918766813
36.75,-6.0,302.61567269097105
36.75,-5.75,300.6260489728288
36.75,-5.5,297.997316691785
36.75,-5.25,297.5475889202473
36.75,-5.0,296.501477991561
36.75,-4.75,299.6437180206871
36.75,-4.5,299.5549955708437
36.75,-4.25,299.46569068824977
36.75,-4.0,298.604820525045
36.75,-3.75,296.20907964301546
36.75,-3.5,297.4225488332596
36.75,-3.25,298.8918478175574
36.75,-3.0,299.2944441009699
36.75,-2.75,298.3232895318481
36.75,-2.5,299.25102651169567
36.75,-2.25,300.73056372648546
36.75,-2.0,300.7869709113587
36.75,2.75,297.27230747438637
36.75,3.0,297.8900394019177
36.75,3.25,298.60183765744256
36.75,3.5,297.3376733019805
36.75,4.75,295.38552192592783
36.75,5.0,295.62053550302625
36.75,6.75,298.5878237193446
36.75,7.0,297.87566523778685
36.75,7.25,298.2158688546156
36.75,8.25,297.0833377523277
36.75,8.5,295.6995111742153
36.75,8.75,295.1137904526767
36.75,9.0,297.7897862474779
36.75,9.25,297.9678907340974
36.75,9.5,297.9391803396653
36.75,9.75,299.0748060733418
36.75,10.0,299.4140179519635
36.75,10.25,298.0399602626148
36.75,10.5,297.44791317465587
36.75,10.75,297.82633847933914
36.75,11.0,298.0272196774923
36.75,11.25,299.41961038961045
36.75,12.0,295.8526970263675
36.75,14.5,298.9205165921846
36.75,14.75,298.71728403242935
36.75,15.0,298.44641908239504
36.75,15.25,297.70284489302975
36.75,22.0,296.9713195287723
36.75,22.25,294.4700432567102
36.75,22.5,295.6227476318442
36.75,22.75,298.26730167311894
36.75,23.0,296.7271306462111
36.75,24.25,296.58113321341517
36.75,24.5,297.3363771579377
36.75,24.75,296.23759477078727
36.75,25.25,296.0222308425032
36.75,25.5,295.938246185673
36.75,26.5,295.200839811543
36.75,27.0,297.65925069398884
36.75,27.25,297.4997806558125
36.75,27.5,296.0915312369494
36.75,27.75,297.25081980834346
36.75,28.0,296.9958944215937
36.75,28.25,296.51375068597565
36.75,28.5,296.4441030293667
36.75,28.75,298.3079825049034
36.75,29.0,297.5031883168077
36.75,29.25,297.4219484599015
36.75,29.5,293.17494928687876
36.75,29.75,294.45324750659006
36.75,30.0,296.21667081006854
36.75,30.25,291.2226014824928
36.75,30.5,293.7994713529394
36.75,30.75,300.3122197587456
36.75,31.0,300.44817606826507
36.75,31.25,300.638573334388
36.75,31.5,299.9786057165449
36.75,31.75,297.01107466264
36.75,32.0,294.178596711947
36.75,32.25,289.31791681692647
36.75,32.5,290.3874956593145
36.75,32.75,294.2893366642413
36.75,33.0,293.40838440825576
36.75,33.25,299.20684931760206
36.75,33.5,296.5683828875912
36.75,33.75,294.6512793097948
36.75,34.0,294.50916000441816
36.75,36.25,293.7167477107242
36.75,36.5,299.79180912975426
36.75,36.75,302.36610457349286
36.75,37.0,303.48994801729714
36.75,37.25,305.1678528654859
36.75,37.5,305.8028645217314
36.75,37.75,307.0196058283832
36.75,38.0,306.14338310739384
37.0,-9.0,296.72505512742697
37.0,-8.75,298.653938631294
37.0,-8.5,298.89787089311204
37.0,-8.25,300.09002625146
37.0,-8.0,298.9301993980353
37.0,-7.75,299.3972701169836
37.0,-7.5,297.3555913978494
37.0,-6.75,299.9740327807994
37.0,-6.5,301.45399491729
37.0,-6.25,300.5182403276589
37.0,-6.0,300.9277458911779
37.0,-5.75,303.89434820954204
37.0,-5.5,301.7729979807449
37.0,-5.25,300.9580524717096
37.0,-5.0,300.15351996450534
37.0,-4.75,299.79141136151924
37.0,-4.5,299.72834977583824
37.0,-4.25,297.9992455926082
37.0,-4.0,297.59387754973653
37.0,-3.75,298.23813084689436
37.0,-3.5,294.1559834412212
37.0,-3.25,292.6166418256008
37.0,-3.0,295.34187842298024
37.0,-2.75,295.83724002837573
37.0,-2.5,300.8027363926982
37.0,-2.25,300.60823448952846
37.0,-2.0,299.86377759401546
37.0,-1.75,297.7742364310173
37.0,4.75,293.8158751493781
37.0,7.25,296.6681579541412
37.0,7.5,295.5310281867665
37.0,8.25,295.3535430727007
37.0,8.5,295.11587053378724
37.0,8.75,294.95739321537104
37.0,9.0,295.1394006887744
37.0,9.25,297.62148045931076
37.0,9.5,297.56769904507894
37.0,9.75,298.45821615080376
37.0,10.0,299.00380832471757
37.0,10.25,298.62974212445187
37.0,10.5,295.53568807339434
37.0,10.75,296.4106449241795
37.0,11.0,296.9319778797012
37.0,13.75,297.9636123032903
37.0,14.0,299.0244675419137
37.0,14.25,299.7655389574317
37.0,14.5,298.93407484114607
37.0,14.75,296.78132216335786
37.0,15.0,297.01809349591906
37.0,15.25,298.00095928916096
37.0,21.5,296.97502057257003
37.0,21.75,296.0819362576812
37.0,22.0,297.61521820073364
37.0,22.25,291.84779994462815
37.0,22.5,296.6675711030651
37.0,22.75,296.61072260722483
37.0,23.0,294.51735742537153
37.0,24.5,298.09629464285723
37.0,24.75,295.88613696482
37.0,25.0,296.1551596442706
37.0,25.25,296.90414902590595
37.0,25.5,296.94958522240603
37.0,26.25,294.4519771600949
