lat,lon,LST_Celsius_mean
37.25,31.5,15.934512863956002
37.25,31.75,17.449283414304716
37.25,32.0,18.31645964416026
37.25,32.25,23.69635865204532
37.25,32.5,24.55526522386873
37.25,32.75,26.39859065960661
37.25,33.0,26.644673567028633
37.25,33.25,28.62186373772886
37.25,33.5,28.305893444659773
37.25,33.75,26.42922201186684
37.25,34.0,18.848748484820362
37.25,34.25,12.669046767583097
37.25,34.5,14.000744025792528
37.25,34.75,19.90970873051731
37.25,35.0,24.096206894595014
37.25,35.25,25.86070508559709
37.25,35.5,26.756263183189162
37.25,36.25,24.6544281778381
37.25,36.5,21.962011925953504
37.25,36.75,26.35854204479932
37.25,37.0,28.89075084552354
37.25,37.25,28.985362521959644
37.25,37.5,30.460218416092346
37.25,37.75,30.77082465894904
37.25,38.0,32.63239548426094
37.5,-8.75,24.12526717904757
37.5,-8.5,25.829806390970248
37.5,-8.25,27.084335593098785
37.5,-8.0,28.88744784236468
37.5,-7.75,29.892813555546354
37.5,-7.5,29.21717947849578
37.5,-7.25,29.35832019300875
37.5,-7.0,28.93922755907124
37.5,-6.75,28.013547969864362
37.5,-6.5,27.57282623269026
37.5,-6.25,29.65255901609663
37.5,-6.0,27.93631235298801
37.5,-5.75,27.96803713707891
37.5,-5.5,30.090630800688984
37.5,-5.25,30.57772995310944
37.5,-5.0,30.31063319419576
37.5,-4.75,28.42565974644043
37.5,-4.5,27.179859149086553
37.5,-4.25,25.572610557797816
37.5,-4.0,25.98994992264926
37.5,-3.75,24.60632580145193
37.5,-3.5,25.785042021740992
37.5,-3.25,26.072782516695042
37.5,-3.0,25.99164026864173
37.5,-2.75,24.64987100384218
37.5,-2.5,25.08466609980985
37.5,-2.25,26.086803506437775
37.5,-2.0,27.910538818620694
37.5,-1.75,27.611605906764566
37.5,-1.5,26.122561507982482
37.5,-1.25,26.269435176684226
37.5,-1.0,24.6569436379894
37.5,-0.75,24.170846328828986
37.5,9.0,20.18872988095245
37.5,12.5,22.7313740458016
37.5,12.75,24.836584434868087
37.5,13.0,24.37684024966046
37.5,13.25,24.109353052920255
37.5,13.5,24.391784021063586
37.5,13.75,24.20354452449311
37.5,14.0,24.413434074265183
37.5,14.25,22.919608410024637
37.5,14.5,25.03181252461161
37.5,14.75,26.560960743549572
37.5,15.0,25.329608914313837
37.5,15.25,24.573131405660433
37.5,21.5,24.196779540919124
37.5,21.75,21.709909553371688
37.5,22.0,20.80232732883286
37.5,22.25,19.82265069976802
37.5,22.5,22.08380676225505
37.5,22.75,24.738329400341513
37.5,23.0,24.497843890602894
37.5,23.25,23.93014897502411
37.5,23.5,23.29229145712094
37.5,24.0,22.89136904761898
37.5,24.25,23.565676405753095
37.5,24.5,23.881150801990145
37.5,24.75,22.26767477141965
37.5,25.0,23.121192359479608
37.5,25.25,22.986997679172816
37.5,26.0,20.57277497592918
37.5,26.25,21.095661403437475
37.5,26.5,20.315795609466477
37.5,26.75,22.727326358826247
37.5,27.0,22.858435522325294
37.5,27.25,25.30157362229704
37.5,27.5,23.601895021199766
37.5,27.75,24.47557062672479
37.5,28.0,25.63772887934209
37.5,28.25,23.14660298889163
37.5,28.5,23.206346068648884
37.5,28.75,24.34213541758021
37.5,29.0,24.733996660313096
37.5,29.25,23.32304985375606
37.5,29.5,24.90011627542532
37.5,29.75,23.001977954162328
37.5,30.0,25.41571532659117
37.5,30.25,21.10137977081945
37.5,30.5,23.015758463633574
37.5,30.75,21.834462228543998
37.5,31.0,18.994902240170575
37.5,31.25,18.432995794560156
37.5,31.5,18.82030084931091
37.5,31.75,20.978151838582164
37.5,32.0,23.161339912711583
37.5,32.25,23.643773537758136
37.5,32.5,28.10449211284663
37.5,32.75,26.797086701643195
37.5,33.0,27.962946285071666
37.5,33.25,27.117994093631637
37.5,33.5,29.06127695833152
37.5,33.75,28.53442320820818
37.5,34.0,26.64915840977892
37.5,34.25,24.357914399114634
37.5,34.5,19.946572280450027
37.5,34.75,19.647636737838923
37.5,35.0,19.48964735686235
37.5,35.25,22.051742443685214
37.5,35.5,23.00559098295838
37.5,35.75,25.298504901627894
37.5,36.0,23.87528538482104
37.5,36.25,21.821678935643718
37.5,36.5,20.54311286588046
37.5,36.75,25.536215369036313
37.5,37.0,28.8402602185638
37.5,37.25,28.137155322900753
37.5,37.5,30.340085041504267
37.5,37.75,30.894887638240675
37.5,38.0,31.74523655347798
37.75,-8.75,25.10543435255562
37.75,-8.5,27.27170208006976
37.75,-8.25,28.793644089967017
37.75,-8.0,30.18019136252485
37.75,-7.75,30.154554416077644
37.75,-7.5,30.09251450974523
37.75,-7.25,29.502264869707176
37.75,-7.0,28.820893753815312
37.75,-6.75,27.367478900090987
37.75,-6.5,26.39347718837496
37.75,-6.25,27.2379790458088
37.75,-6.0,27.45090149933469
37.75,-5.75,27.509055444813157
37.75,-5.5,26.797009185686306
37.75,-5.25,26.568222183967293
37.75,-5.0,27.10036869082262
37.75,-4.75,29.301039476020094
37.75,-4.5,29.47811778685258
37.75,-4.25,28.736338769713598
37.75,-4.0,26.764809681402085
37.75,-3.75,24.852116032857964
37.75,-3.5,23.73547572066883
37.75,-3.25,26.359648732051653
37.75,-3.0,23.769058891143175
37.75,-2.75,25.18832002168415
37.75,-2.5,25.741047301347066
37.75,-2.25,24.463441166413247
37.75,-2.0,24.23123144159308
37.75,-1.75,26.5624126790658
37.75,-1.5,25.600356850335686
37.75,-1.25,27.38344323417988
37.75,-1.0,26.625024167523293
37.75,-0.75,24.649947096636367
37.75,12.5,24.206344951957647
37.75,12.75,24.598178592454644
37.75,13.0,24.332733579598028
37.75,13.25,22.22370868769633
37.75,13.5,21.456947542261673
37.75,13.75,22.9149158381926
37.75,14.0,21.931589068007554
37.75,14.25,21.585103554166665
37.75,14.5,21.812692434716496
37.75,14.75,23.345227431261776
37.75,15.0,18.422288005704672
37.75,15.25,22.156697031590227
37.75,20.75,21.42938311248372
37.75,21.0,22.574170160468668
37.75,21.25,23.85392754747562
37.75,21.5,23.229080319332695
37.75,21.75,21.58181760293479
37.75,22.0,20.126914652750088
37.75,22.25,19.760512812802347
37.75,22.5,21.738132330286135
37.75,22.75,25.264598745917965
37.75,23.0,22.611463232762276
37.75,23.25,22.320870577434334
37.75,23.5,24.706044931082943
37.75,23.75,24.892951590952464
37.75,24.0,24.678797229519716
37.75,24.25,23.101960818927466
37.75,24.5,24.660990479054078
37.75,24.75,21.441930354550493
37.75,25.0,21.963930628606306
37.75,25.25,22.832586829069214
37.75,26.25,20.112633277670056
37.75,26.5,19.66083715146732
37.75,26.75,20.62464494036709
37.75,27.0,21.984647556238315
37.75,27.25,22.276170627717647
37.75,27.5,24.485948238919434
