lat,lon,LST_Kelvin,LST_Celsius
35.75,9.5,303.4679458239277,30.317945823927744
35.75,9.75,305.9408,32.79080000000005
35.75,10.0,308.95046666666667,35.80046666666669
35.75,10.25,309.24795555555556,36.097955555555586
35.75,10.5,306.98202447163516,33.83202447163518
35.75,10.75,305.6229411764706,32.47294117647061
35.75,11.0,303.72833333333335,30.578333333333376
35.75,12.75,300.856,27.706000000000017
35.75,13.0,302.52,29.370000000000005
35.75,14.5,297.09680000000003,23.946800000000053
35.75,23.25,292.69666666666666,19.54666666666668
35.75,23.75,293.56,20.410000000000025
35.75,27.0,290.28499999999997,17.13499999999999
35.75,27.25,294.57348837209304,21.42348837209306
35.75,34.5,295.61915492957746,22.469154929577485
35.75,35.75,296.7921739130435,23.642173913043507
35.75,36.0,293.7210810810811,20.571081081081104
35.75,36.25,293.18125000000003,20.031250000000057
35.75,36.5,296.14786206896554,22.99786206896556
35.75,36.75,299.7073043478261,26.55730434782612
35.75,37.0,301.4786377708979,28.3286377708979
35.75,37.25,303.7568707482993,30.606870748299343
35.75,37.5,301.5071904761905,28.35719047619051
35.75,37.75,302.66825396825396,29.518253968253987
35.75,38.0,304.9528235294118,31.802823529411796
36.0,-0.5,296.3446153846154,23.194615384615417
36.0,-0.25,298.6747826086957,25.524782608695716
36.0,0.0,298.75189873417725,25.60189873417727
36.0,0.25,301.0975757575757,27.94757575757575
36.0,0.5,301.6951358695652,28.54513586956523
36.0,0.75,302.29759425493717,29.14759425493719
36.0,1.0,302.79059006211185,29.64059006211187
36.0,1.25,303.96693670886077,30.816936708860794
36.0,1.5,303.80859075535517,30.658590755355192
36.0,1.75,301.77909090909094,28.629090909090962
36.0,3.5,297.39655737704913,24.246557377049157
36.0,3.75,298.275204359673,25.125204359673035
36.0,4.0,293.05152542372883,19.901525423728856
36.0,4.25,294.4656880733945,21.31568807339454
36.0,4.5,296.48485943775097,23.334859437750993
36.0,4.75,299.67661464585836,26.526614645858388
36.0,5.0,301.5055777777778,28.355577777777796
36.0,5.25,303.02326666666664,29.873266666666666
36.0,5.5,302.7689777777778,29.618977777777843
36.0,5.75,302.9330888888889,29.783088888888926
36.0,6.0,298.5302411021814,25.3802411021814
36.0,6.25,297.6426742857143,24.492674285714315
36.0,6.5,296.5826506024097,23.432650602409694
36.0,6.75,301.7107726763718,28.560772676371812
36.0,7.0,303.16860956618467,30.018609566184693
36.0,7.25,303.8565555555556,30.70655555555561
36.0,7.5,301.8138532110092,28.66385321100921
36.0,7.75,304.0314666666667,30.88146666666671
36.0,8.0,305.6024666666667,32.45246666666674
36.0,8.25,305.83753333333334,32.68753333333336
36.0,8.5,305.1240888888889,31.9740888888889
36.0,8.75,306.8784888888889,33.72848888888893
