latitude,longitude,land_cover_class
-89.875,-15.625,15
-89.875,-15.375,15
-89.875,-15.125,15
-89.875,-14.875,15
-89.875,-14.625,15
-89.875,-14.375,15
-89.875,-14.125,15
-89.875,-13.875,15
-89.875,-13.625,15
-89.875,-13.375,15
-89.875,-13.125,15
-89.875,-12.875,15
-89.875,-12.625,15
-89.875,-12.375,15
-89.875,-12.125,15
-89.875,-11.875,15
-89.875,-11.625,15
-89.875,-11.375,15
-89.875,-11.125,15
-89.875,-10.875,15
-89.875,-10.625,15
-89.875,-10.375,15
-89.875,-10.125,15
-89.875,-9.875,15
-89.875,-9.625,15
-89.875,-9.375,15
-89.875,-9.125,15
-89.875,-8.875,15
-89.875,-8.625,15
-89.875,-8.375,15
-89.875,-8.125,15
-89.875,-7.875,15
-89.875,-7.625,15
-89.875,-7.375,15
-89.875,-7.125,15
-89.875,-6.875,15
-89.875,-6.625,15
-89.875,-6.375,15
-89.875,-6.125,15
-89.875,-5.875,15
-89.875,-5.625,15
-89.875,-5.375,15
-89.875,-5.125,15
-89.875,-4.875,15
-89.875,-4.625,15
-89.875,-4.375,15
-89.875,-4.125,15
-89.875,-3.875,15
-89.875,-3.625,15
-89.875,-3.375,15
-89.875,-3.125,15
-89.875,-2.875,15
-89.875,-2.625,15
-89.875,-2.375,15
-89.875,-2.125,15
-89.875,-1.875,15
-89.875,-1.625,15
-89.875,-1.375,15
-89.875,-1.125,15
-89.875,-0.875,15
-89.875,-0.625,15
-89.875,-0.375,15
-89.875,-0.125,15
-89.875,0.125,15
-89.875,0.375,15
-89.875,0.625,15
-89.875,0.875,15
-89.875,1.125,15
-89.875,1.375,15
-89.875,1.625,15
-89.875,1.875,15
-89.875,2.125,15
-89.875,2.375,15
-89.875,2.625,15
-89.875,2.875,15
-89.875,3.125,15
-89.875,3.375,15
-89.875,3.625,15
-89.875,3.875,15
-89.875,4.125,15
-89.875,4.375,15
-89.875,4.625,15
-89.875,4.875,15
-89.875,5.125,15
-89.875,5.375,15
-89.875,5.625,15
-89.875,5.875,15
-89.875,6.125,15
-89.875,6.375,15
-89.875,6.625,15
-89.875,6.875,15
-89.875,7.125,15
-89.875,7.375,15
-89.875,7.625,15
-89.875,7.875,15
-89.875,8.125,15
-89.875,8.375,15
-89.875,8.625,15
-89.875,8.875,15
-89.875,9.125,15
-89.875,9.375,15
-89.875,9.625,15
-89.875,9.875,15
-89.875,10.125,15
-89.875,10.375,15
-89.875,10.625,15
-89.875,10.875,15
-89.875,11.125,15
-89.875,11.375,15
-89.875,11.625,15
-89.875,11.875,15
-89.875,12.125,15
-89.875,12.375,15
-89.875,12.625,15
-89.875,12.875,15
-89.875,13.125,15
-89.875,13.375,15
-89.875,13.625,15
