date,a,b,r2,rmse,n_points
20050811,-0.472600034912932,413.3989436077626,1.0,0.0,2
20050812,-0.0475668876324752,300.60820712059746,1.0,0.0,2
20050813,-0.0600603357482941,303.38138776464484,1.0,5.684341886080804e-14,2
20050815,-0.2381996682446308,351.1885113583784,0.6778094324859594,0.8046522321712797,3
20050816,-0.1766056173444098,334.2657892886633,1.0,0.0,2
20050817,-0.1446983933104931,325.6715103098804,1.0,5.684341886080804e-14,2
20050820,-0.0156248428653961,293.2046726639081,1.0,0.0,2
20050821,-0.0349275397530952,297.78375830520304,0.5682313545614726,0.3326954928652766,3
20050822,0.0360727887043779,279.3303158348075,1.0,0.0,2
20050823,-4.263569745358973,1473.5223659629987,1.0,5.684341886080804e-14,2
20050824,-10.991421815755611,3096.689104354069,1.0,3.958686044479725e-13,2
20050825,-0.118993068067458,320.1897764529592,1.0,0.0,2
20050828,-0.3074524763855158,369.44933234904187,0.9927477345292716,0.1834134114060681,3
20050830,3.4419098439305804,-612.5803201796631,1.0,8.987733679556356e-14,2
20050905,-0.1860778959115555,338.03823057530866,1.0,0.0,2
20050907,0.2914993996244817,208.8891929849528,1.0,0.0,2
20050910,0.1821434326537729,240.570059778783,0.671821172819971,0.6490927884215283,3
20050913,-0.1293359663043228,322.8558655628537,1.0,5.684341886080804e-14,2
20050914,-0.1144889466232294,317.9657374041219,0.8711325789890869,0.4658954351674237,3
20050915,-0.0576375629970235,303.851937360826,0.9999935505462326,0.0016763455781355,3
20050916,-2.599822407505654,1003.1227916881436,1.0,1.1368683772161605e-13,2
20050920,-0.4050523351859592,388.8348013158903,0.8557285089172408,1.382816054980509,3
20050923,-0.1326486432536319,320.8906775186376,1.0,5.684341886080804e-14,2
20050924,-0.2583295513177244,355.0655026940418,0.4407038610287683,1.1076720009386931,3
20050925,7.970955015964386,-1888.3055301706004,1.0,2.92619408270042e-13,2
20050928,-0.0922634887318338,311.182444733848,1.0,0.0,2
20050929,-0.0241484492400047,291.70026951349263,0.0074334016977429,1.9765926483712195,4
20050930,-0.1902431353800749,333.73743018866696,0.7256678183855417,1.246406606157714,3
20051001,0.1023267777327656,256.1761485381841,1.0,5.684341886080804e-14,2
20051003,-0.2586425146857614,352.44487045758945,0.9534500955380092,0.3240949427610059,3
20051004,-0.0189879415798295,289.9319929594288,0.2791670599064952,0.5988620771299727,4
20051007,-0.0367822276465042,294.058937558039,0.0396482965258101,1.9491043645698856,5
20051009,-0.1695675444028621,329.5124567786019,0.6221136963387807,1.4488262612045073,3
20051010,2.187033134911237,-308.5256890122597,1.0,8.987733679556356e-14,2
20051015,-1.1429060755153648,584.2259636231935,1.0,0.0,2
20051017,-0.4854963060345363,411.2019252281531,1.0,0.0,2
20051020,2.801626775362666,-477.95465537163824,1.0,0.0,2
20051021,-0.1978440328428012,337.0542319201094,0.8849644492043882,0.6527134144920981,3
20051022,-0.1784629991840279,332.7514761889236,1.0,0.0,2
20051023,-0.1408003786054384,322.775691125938,1.0,0.0,2
20051024,-0.419332469130346,393.69703580568944,1.0,0.0,2
20051026,-0.2202441289891908,342.7038110469963,1.0,0.0,2
20051028,7.758558260807532,-1804.3444063157467,1.0,5.240704272917405e-13,2
20051029,-0.5542711923401629,431.395830354978,0.3935035247550424,2.071713536131597,3
20051031,0.0127180654604333,278.5108828847004,0.0012671684711627,3.1595019388512684,3
20051101,-0.2562989125511713,349.2000947322887,1.0,0.0,2
20051102,-0.4937887184367767,413.2284904234406,1.0,5.684341886080804e-14,2
20051103,-0.2553981049005275,351.8993640874999,1.0,0.0,2
20051105,-0.1185254410320436,315.84962236616144,1.0,5.684341886080804e-14,2
20051106,-0.5698053936234387,432.68232294903055,1.0,5.684341886080804e-14,2
20051108,-0.34079797606472,371.9214368370157,1.0,0.0,2
20051110,-0.1533719528069367,319.1187512861094,0.5015733912383593,1.8064729839073683,4
20051111,-0.0125859391231717,284.8486492154341,0.0060283550254028,1.7989602180937632,4
20051112,-0.0335457308992735,287.9556609832914,0.9486160616223211,0.2657849172197671,3
20051114,-0.2726407998708627,350.69662692968683,0.455251307810696,2.444950973257784,5
20051116,0.0991863697919615,257.34248729108424,0.0238396441633022,1.503300833237477,3
20051119,-0.2773450415181083,349.519284842164,0.673853158064354,1.155075019500672,4
20051120,-0.2467708995693025,340.3941778888586,0.5405258963819395,2.142737565935766,5
20051123,-0.1625195735669149,320.61106820395764,0.3455520227458346,1.7945903819863391,3
20051124,1.3278175982738156,-69.79360378896519,1.0,0.0,2
20051125,0.1725330468935667,238.5725223584793,0.9841877328373352,0.0870419048628647,3
20051126,-0.234162847592959,336.7273002387257,1.0,0.0,2
20051127,-0.1620565419382449,317.35311236606555,1.0,4.019436694230464e-14,2
20051201,-0.2796448293856162,348.8141814365344,1.0,0.0,2
20051202,-1.177561470610848,574.7346392050608,1.0,5.684341886080804e-14,2
20051203,-0.6579465922642354,443.5182156341736,1.0,0.0,2
20051205,-0.2167066250502569,333.5163918879528,1.0,5.684341886080804e-14,2
20051206,5.457936292537193,-1146.0741336210283,1.0,8.987733679556356e-14,2
20051207,-0.1352348468252975,310.17780913129945,0.7766307384126929,1.286042547108883,3
20051209,-0.360271680559859,368.6117439037454,1.0,0.0,2
20051213,-0.1123007638314851,301.3335063046852,1.0,0.0,2
20051216,-0.2705501663679268,347.3726140342077,0.8044327792293702,0.8094321721960851,4
20051218,-26.80390301257316,7241.664048302465,1.0,1.2058310082691394e-13,2
20051219,-0.1495912504771896,313.86757062672194,0.5681541888275451,1.6778935150447574,4
20051220,0.0032222398946989,273.3209419670996,0.0018360925788279,0.8751864246050326,3
20051221,-0.1697703387263928,319.2342661097012,1.0,5.684341886080804e-14,2
20051222,-1.085851542368845,533.8442269392056,1.0,0.0,2
20051223,-0.0446059163234996,286.4642833017945,0.3349374806072129,1.0239542801734685,4
20051224,0.15037687456356,242.0950433317996,1.0,0.0,2
20051225,0.1140364215350794,246.6838505792668,0.93623035946884,0.2821248502077553,3
20051226,-0.152909073732488,313.85737970296225,0.9088518995336752,0.6121023858393148,3
20051227,0.5975567986091086,129.7283696218044,1.0,0.0,2
20051228,7.864524559284779,-1772.4448111489733,1.0,2.1645329030274962e-13,2
20051229,0.0001647000054138,273.9980552266573,7.817104779483941e-06,0.5430082110511429,3
20051230,10.485935141760988,-2448.905036649077,1.0,1.657256204579568e-13,2
